tick,humans,zombies
1,10000,10
2,10000,10
3,10000,10
4,10000,10
5,10000,10
6,10000,10
7,10000,10
8,10000,10
9,10000,10
10,10000,10
11,10000,10
12,9998,12
13,9998,12
14,9998,12
15,9997,13
16,9997,13
17,9997,13
18,9997,13
19,9997,13
20,9996,14
21,9996,14
22,9995,15
23,9994,16
24,9994,16
25,9994,16
26,9994,16
27,9994,16
28,9994,16
29,9994,16
30,9994,16
31,9994,16
32,9993,17
33,9993,17
34,9993,17
35,9991,19
36,9991,19
37,9991,19
38,9991,19
39,9989,21
40,9989,21
41,9989,21
42,9989,21
43,9989,21
44,9988,22
45,9988,22
46,9987,23
47,9986,24
48,9986,24
49,9986,24
50,9985,25
51,9984,26
52,9984,26
53,9984,26
54,9984,26
55,9982,28
56,9982,28
57,9982,28
58,9982,28
59,9982,28
60,9981,29
61,9980,30
62,9980,30
63,9979,31
64,9977,33
65,9977,33
66,9977,33
67,9977,33
68,9977,33
69,9977,33
70,9976,34
71,9975,35
72,9975,35
73,9975,35
74,9974,36
75,9973,37
76,9973,37
77,9973,37
78,9973,37
79,9973,37
80,9973,37
81,9973,37
82,9973,37
83,9972,38
84,9972,38
85,9971,39
86,9970,40
87,9970,40
88,9968,42
89,9968,42
90,9968,42
91,9968,42
92,9968,42
93,9967,43
94,9967,43
95,9967,43
96,9967,43
97,9967,43
98,9966,44
99,9966,44
100,9966,44
101,9966,44
102,9966,44
103,9966,44
104,9965,45
105,9965,45
106,9964,46
107,9963,47
108,9963,47
109,9962,48
110,9962,48
111,9962,48
112,9962,48
113,9961,49
114,9961,49
115,9961,49
116,9960,50
117,9959,51
118,9959,51
119,9958,52
120,9957,53
121,9957,53
122,9957,53
123,9957,53
124,9957,53
125,9957,53
126,9956,54
127,9955,55
128,9955,55
129,9955,55
130,9954,56
131,9953,57
132,9953,57
133,9953,57
134,9953,57
135,9951,59
136,9951,59
137,9951,59
138,9950,60
139,9947,63
140,9946,64
141,9946,64
142,9946,64
143,9944,66
144,9944,66
145,9943,67
146,9942,68
147,9942,68
148,9941,69
149,9938,72
150,9938,72
151,9937,73
152,9936,74
153,9936,74
154,9935,75
155,9935,75
156,9934,76
157,9932,78
158,9932,78
159,9931,79
160,9931,79
161,9931,79
162,9931,79
163,9931,79
164,9931,79
165,9930,80
166,9930,80
167,9930,80
168,9929,81
169,9929,81
170,9929,81
171,9929,81
172,9929,81
173,9927,83
174,9927,83
175,9927,83
176,9926,84
177,9926,84
178,9924,86
179,9924,86
180,9923,87
181,9923,87
182,9922,88
183,9922,88
184,9922,88
185,9920,90
186,9919,91
187,9919,91
188,9915,95
189,9914,96
190,9913,97
191,9913,97
192,9913,97
193,9913,97
194,9912,98
195,9912,98
196,9912,98
197,9912,98
198,9911,99
199,9910,100
200,9909,101
201,9909,101
202,9908,102
203,9908,102
204,9908,102
205,9908,102
206,9908,102
207,9906,104
208,9906,104
209,9905,105
210,9905,105
211,9904,106
212,9904,106
213,9904,106
214,9903,107
215,9903,107
216,9903,107
217,9903,107
218,9903,107
219,9902,108
220,9902,108
221,9902,108
222,9902,108
223,9902,108
224,9901,109
225,9900,110
226,9899,111
227,9896,114
228,9896,114
229,9896,114
230,9896,114
231,9896,114
232,9896,114
233,9896,114
234,9894,116
235,9893,117
236,9893,117
237,9892,118
238,9892,118
239,9892,118
240,9892,118
241,9891,119
242,9891,119
243,9890,120
244,9890,120
245,9890,120
246,9889,121
247,9888,122
248,9888,122
249,9888,122
250,9887,123
251,9886,124
252,9884,126
253,9884,126
254,9884,126
255,9883,127
256,9882,128
257,9882,128
258,9882,128
259,9882,128
260,9882,128
261,9882,128
262,9882,128
263,9882,128
264,9881,129
265,9880,130
266,9880,130
267,9880,130
268,9880,130
269,9880,130
270,9880,130
271,9880,130
272,9880,130
273,9880,130
274,9879,131
275,9878,132
276,9877,133
277,9876,134
278,9876,134
279,9876,134
280,9875,135
281,9874,136
282,9873,137
283,9871,139
284,9870,140
285,9869,141
286,9868,142
287,9868,142
